[2025-12-19 22:17:55] SUCCESS - Instructor ID: 3, Action: accept, Submission ID: 17, IP: ::1
[2025-12-19 22:17:57] SUCCESS - Instructor ID: 3, Action: reject, Submission ID: 17, IP: ::1
[2025-12-19 22:17:59] SUCCESS - Instructor ID: 3, Action: accept, Submission ID: 17, IP: ::1
[2025-12-19 22:18:03] SUCCESS - Instructor ID: 3, Action: add_feedback, Submission ID: 17, IP: ::1
[2025-12-19 22:18:09] SUCCESS - Instructor ID: 3, Action: delete, Submission ID: 17, IP: ::1
[2025-12-19 23:59:27] SUCCESS - Instructor ID: 3, Action: add_feedback, Submission ID: 16, IP: ::1
[2025-12-20 01:51:41] SUCCESS - Instructor ID: 3, Action: accept, Submission ID: 13, IP: ::1
[2025-12-20 12:25:12] SUCCESS - Instructor ID: 3, Action: accept, Submission ID: 18, IP: ::1
[2025-12-21 12:46:33] SUCCESS - Instructor ID: 2, Action: accept, Submission ID: 9, IP: ::1
[2025-12-21 12:46:40] SUCCESS - Instructor ID: 2, Action: add_feedback, Submission ID: 9, IP: ::1
[2025-12-21 12:47:03] SUCCESS - Instructor ID: 2, Action: delete, Submission ID: 7, IP: ::1
[2025-12-21 13:04:45] SUCCESS - Instructor ID: 2, Action: reject, Submission ID: 9, IP: ::1
[2025-12-21 13:05:15] SUCCESS - Instructor ID: 2, Action: view_report, Submission ID: 9, IP: ::1
[2025-12-21 13:05:23] SUCCESS - Instructor ID: 2, Action: download_report, Submission ID: 9, IP: ::1
[2025-12-21 13:07:09] SUCCESS - Instructor ID: 2, Action: add_feedback, Submission ID: 9, IP: ::1
[2025-12-21 13:07:32] SUCCESS - Instructor ID: 2, Action: accept, Submission ID: 9, IP: ::1
[2025-12-21 13:07:37] SUCCESS - Instructor ID: 2, Action: accept, Submission ID: 3, IP: ::1
[2025-12-21 13:07:52] SUCCESS - Instructor ID: 2, Action: accept, Submission ID: 2, IP: ::1
[2025-12-21 14:19:38] SUCCESS - Instructor ID: 2, Action: view_report, Submission ID: 9, IP: ::1
